full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,66595,66595,10845,70,70,9,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9399,9399,14692,2,2,-2,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1526,1526,2455,4,4,3,https://github.com/pengchengneo/Claude-Code
Alishahryar1/free-claude-code,34546,34546,5295,55,55,7,https://github.com/Alishahryar1/free-claude-code
hesreallyhim/awesome-claude-code,46499,46499,4053,34,34,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,57760,57760,5802,39,39,6,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,34996,34996,2873,11,11,-1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,28064,28064,2914,11,11,8,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,887,887,1206,1,1,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,21644,21644,3133,21,21,4,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3208,3208,3822,0,0,1,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,21795,21795,2546,8,8,1,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2284,2284,3528,0,0,1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8011,8011,1902,7,7,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11071,11071,1935,11,11,2,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3154,3154,1819,11,11,4,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9705,9705,1220,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9335,9335,712,1,1,0,https://github.com/frankbria/ralph-claude-code
pedrohcgs/claude-code-my-workflow,1262,1262,2556,1,1,2,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,8739,8739,665,14,14,1,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,785,785,1757,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2630,2630,2386,4,4,2,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3664,3664,767,3,3,1,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5952,5952,563,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,604,604,1305,0,0,1,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3832,3832,566,1,1,0,https://github.com/OneRedOak/claude-code-workflows
wanshuiyin/Auto-claude-code-research-in-sleep,12100,12100,1111,31,31,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
FlorianBruniaux/claude-code-ultimate-guide,5028,5028,664,14,14,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
1rgs/claude-code-proxy,3634,3634,473,-1,-1,0,https://github.com/1rgs/claude-code-proxy
nicedreamzapp/claude-code-local,2760,2760,522,1,1,0,https://github.com/nicedreamzapp/claude-code-local
lorryjovens-hub/claude-code-rust,1644,1644,639,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4301,4301,437,1,1,0,https://github.com/zebbern/claude-code-guide
affaan-m/ECC,215719,215719,33155,160,160,29,https://github.com/affaan-m/ECC
anthropics/claude-code-security-review,5249,5249,539,4,4,0,https://github.com/anthropics/claude-code-security-review
disler/claude-code-hooks-mastery,3765,3765,621,0,0,0,https://github.com/disler/claude-code-hooks-mastery
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
777genius/claude-code-source-code,916,916,1104,0,0,-1,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8206,8206,424,3,3,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
rohitg00/awesome-claude-code-toolkit,2056,2056,674,1,1,1,https://github.com/rohitg00/awesome-claude-code-toolkit
Windy3f3f3f3f/how-claude-code-works,2644,2644,615,3,3,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
RichardAtCT/claude-code-telegram,2685,2685,394,0,0,1,https://github.com/RichardAtCT/claude-code-telegram
alejandrobalderas/claude-code-from-source,2211,2211,650,0,0,0,https://github.com/alejandrobalderas/claude-code-from-source
kodu-ai/claude-coder,5260,5260,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2385,2385,406,0,0,-1,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2669,2669,389,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
ding113/claude-code-hub,3082,3082,348,6,6,0,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,221,221,213,0,0,0,https://github.com/fazxes/Claude-code
